_ID_;_MAIN_CATEGORY_;_NAME_;_MODEL_;_SKU_;_EAN_;_JAN_;_ISBN_;_MPN_;_UPC_;_MANUFACTURER_;_LOCATION_;_PRICE_;_QUANTITY_;_LENGTH_;_SEO_KEYWORD_;_DISCOUNT_;_SPECIAL_;_RELATED_ISBN_;_URL_
139;Renault|Trafic;"Турбина Renault, 2004 (22812047)";22812047;;;1,9;дизель;DCi;;Турбина;;150.0000;1;2004;turbina-renault-2004-22812047;;;;https://d4.by/renault/trafic/turbina-renault-2004-22812047
140;Renault|Laguna;"Турбина Renault, 2006 (22812057)";22812057;;;1,9;дизель;DCi;;Турбина;;200.0000;1;2006;turbina-renault-2006-22812057;;;;https://d4.by/renault/laguna/turbina-renault-2006-22812057
141;Jeep|Liberty;"Панель передняя салона (торпедо) Jeep, 2005 (22812154)";22812154;;;2,8;дизель;;;"Панель передняя салона (торпедо)";;90.0000;1;2005;panel-perednyaya-salona-torpedo-jeep-2005-22812154;;;;https://d4.by/jeep/liberty/panel-perednyaya-salona-torpedo-jeep-2005-22812154
142;Fiat|Idea;"Панель передняя салона (торпедо) Fiat, 2004 (22812171)";22812171;;;;;;;"Панель передняя салона (торпедо)";;75.0000;1;2004;panel-perednyaya-salona-torpedo-fiat-2004-22812171;;;;https://d4.by/fiat/idea/panel-perednyaya-salona-torpedo-fiat-2004-22812171
143;"Fiat|Grande Punto";"Панель передняя салона (торпедо) Fiat, 2011 (22812185)";22812185;;;1,3;дизель;;;"Панель передняя салона (торпедо)";;25.0000;1;2011;panel-perednyaya-salona-torpedo-fiat-2011-22812185;;;;https://d4.by/fiat/grande-punto/panel-perednyaya-salona-torpedo-fiat-2011-22812185
144;"Alfa Romeo|159";"Крышка багажника (дверь 3-5) Alfa Romeo, 2008 (22813309)";22813309;;;;;;;"Крышка багажника (дверь 3-5)";;90.0000;1;2008;kryshka-bagazhnika-dver-3-5-alfa-romeo-2008-22813309;;;;https://d4.by/alfa-romeo/159/kryshka-bagazhnika-dver-3-5-alfa-romeo-2008-22813309
145;Audi|A4;"КПП механическая (МКПП) Audi, 2005 (22813338)";22813338;;;2,5;дизель;;МКПП;"КПП механическая (МКПП)";;250.0000;1;2005;kpp-mehanicheskaya-mkpp-audi-2005-22813338;;;;https://d4.by/audi/a4/kpp-mehanicheskaya-mkpp-audi-2005-22813338
146;Fiat|Ducato;"Сиденье переднее Fiat, 2009 (22823041)";22823041;;;;;;;"Сиденье переднее";;75.0000;1;2009;sidene-perednee-fiat-2009-22823041;;;;https://d4.by/fiat/ducato/sidene-perednee-fiat-2009-22823041
147;"Fiat|Marea Weekend";"Сиденье переднее Fiat, 2001 (22824293)";22824293;;;;;;;"Сиденье переднее";;35.0000;1;2001;sidene-perednee-fiat-2001-22824293;;;;https://d4.by/fiat/marea-weekend/sidene-perednee-fiat-2001-22824293
148;"Mercedes|Vito W638";"Сиденье заднее Mercedes, 2001 (22825292)";22825292;;;;;;;"Сиденье заднее";;40.0000;1;2001;sidene-zadnee-mercedes-2001-22825292;;;;https://d4.by/mercedes/vito-w638/sidene-zadnee-mercedes-2001-22825292
149;"Mercedes|Vito W638";"Сиденье заднее Mercedes, 2001 (22825296)";22825296;;;;;;;"Сиденье заднее";;40.0000;1;2001;sidene-zadnee-mercedes-2001-22825296;;;;https://d4.by/mercedes/vito-w638/sidene-zadnee-mercedes-2001-22825296
150;"Mercedes|Vito W638";"Сиденье заднее Mercedes, 2001 (22825303)";22825303;;;;;;;"Сиденье заднее";;75.0000;1;2001;sidene-zadnee-mercedes-2001-22825303;;;;https://d4.by/mercedes/vito-w638/sidene-zadnee-mercedes-2001-22825303
151;Peugeot|Partner;"Балка подвески задняя Peugeot, 2005 (22825313)";22825313;;;;;;;"Балка подвески задняя";;125.0000;1;2005;balka-podveski-zadnyaya-peugeot-2005-22825313;;;;https://d4.by/peugeot/partner/balka-podveski-zadnyaya-peugeot-2005-22825313
152;Ford|Galaxy;"Фара левая Ford, 2002 (22832691)";22832691;;;;;;;"Фара левая";;50.0000;1;2002;fara-levaya-ford-2002-22832691;;;;https://d4.by/ford/galaxy/fara-levaya-ford-2002-22832691
153;Ford|Galaxy;"Фара правая Ford, 2002 (22832693)";22832693;;;;;;;"Фара правая";;50.0000;1;2002;fara-pravaya-ford-2002-22832693;;;;https://d4.by/ford/galaxy/fara-pravaya-ford-2002-22832693
154;Citroen|Saxo;"Двигатель Citroen, 2000 (22832759)";22832759;;;1,1;бензин;;;Двигатель;;200.0000;1;2000;dvigatel-citroen-2000-22832759;;;;https://d4.by/citroen/saxo/dvigatel-citroen-2000-22832759
155;"Citroen|Xsara Picasso";"Двигатель Citroen, 2000 (22832773)";22832773;;;1,6;бензин;;;Двигатель;;200.0000;1;2000;dvigatel-citroen-2000-22832773;;;;https://d4.by/citroen/xsara-picasso/dvigatel-citroen-2000-22832773
156;Nissan|Primera;"Двигатель Nissan, 2001 (22833203)";22833203;;;1,8;бензин;;;Двигатель;;240.0000;1;2001;dvigatel-nissan-2001-22833203;;;;https://d4.by/nissan/primera/dvigatel-nissan-2001-22833203
